unit_id,audience,bias,message,source,cantidad_caracteres,cargo,language_name,cantidad_arrobas,cantidad_hashtag,tiene_obama,tiene_obamacare,tiene_costs,tiene_venezuela,tiene_demandar,tiene_remember,tiene_stuck,tiene_higher,tiene_spawning,tiene_please,tiene_join,tiene_great,tiene_vote,tiene_share,tiene_applaud,tiene_clinton
766192485,national,partisan,attack,twitter,85,Senator,English,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
766192486,national,neutral,support,twitter,136,Representative,English,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
766192493,national,partisan,support,twitter,139,Representative,English,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
766192495,national,partisan,attack,twitter,110,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192501,national,neutral,support,twitter,128,Representative,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192502,national,neutral,support,twitter,79,Representative,English,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
766192503,national,partisan,support,twitter,144,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
766192504,national,neutral,support,twitter,111,Senator,English,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
766192509,national,partisan,support,twitter,135,Senator,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192511,national,partisan,attack,twitter,97,Representative,English,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
766192514,national,partisan,attack,twitter,82,Representative,English,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
766192523,national,neutral,support,twitter,139,Representative,English,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192526,constituency,neutral,support,twitter,90,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192534,national,neutral,support,twitter,139,Senator,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192539,national,partisan,attack,twitter,139,Representative,"Spanish , Castilian",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
766192542,constituency,neutral,support,twitter,135,Representative,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192547,national,neutral,support,twitter,143,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
766192550,national,partisan,attack,twitter,140,Representative,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192553,national,partisan,attack,twitter,101,Senator,English,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192558,national,neutral,support,twitter,146,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192560,national,neutral,support,twitter,144,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192569,national,partisan,attack,twitter,140,Senator,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192577,constituency,neutral,support,twitter,139,Representative,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192578,national,neutral,support,twitter,132,Representative,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192586,national,neutral,support,twitter,127,Representative,English,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
766192591,constituency,neutral,support,twitter,144,Senator,English,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192593,national,neutral,support,twitter,138,Representative,English,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192598,constituency,partisan,support,twitter,124,Senator,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192599,national,partisan,attack,twitter,141,Representative,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192600,national,partisan,attack,twitter,136,Representative,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192609,national,partisan,attack,twitter,139,Representative,English,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192611,national,neutral,support,twitter,116,Senator,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192612,constituency,neutral,support,twitter,139,Senator,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192615,national,neutral,support,twitter,137,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
766192616,national,neutral,support,twitter,148,Representative,English,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
766192620,national,partisan,attack,twitter,127,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192621,national,partisan,attack,twitter,135,Senator,English,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192624,national,neutral,support,twitter,76,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192633,national,neutral,support,twitter,133,Senator,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192634,national,neutral,support,twitter,94,Senator,English,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
766192641,national,neutral,support,twitter,87,Representative,English,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192642,national,neutral,support,twitter,121,Representative,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192645,national,partisan,attack,twitter,98,Representative,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192649,national,partisan,support,twitter,124,Senator,English,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192656,national,partisan,attack,twitter,80,Senator,English,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192659,national,neutral,support,twitter,133,Senator,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192660,national,partisan,support,twitter,133,Representative,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192689,national,partisan,attack,twitter,139,Representative,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192690,constituency,neutral,support,twitter,140,Senator,English,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192694,national,neutral,support,twitter,137,Representative,English,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192695,national,partisan,support,twitter,134,Senator,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192697,constituency,partisan,support,twitter,139,Representative,English,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192699,national,neutral,support,twitter,102,Senator,English,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766192706,national,partisan,support,twitter,121,Representative,English,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
766192721,national,partisan,support,twitter,143,Senator,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
